header 1: FORM   header filesize(d): 130285396   header 2: IFRS
index name: Pict  index number(d): 153   starts at(h): 00CAA98A

index name: Pict  index number(d): 154   starts at(h): 00CCB382

index name: Pict  index number(d): 155   starts at(h): 00CDF780

index name: Pict  index number(d): 156   starts at(h): 00CFCD64

index name: Pict  index number(d): 157   starts at(h): 00D18F62

index name: Pict  index number(d): 158   starts at(h): 00D2A86C

index name: Pict  index number(d): 159   starts at(h): 00D4907C

index name: Pict  index number(d): 160   starts at(h): 00D5F1E2

index name: Pict  index number(d): 161   starts at(h): 00D8099C

index name: Pict  index number(d): 162   starts at(h): 00DA3244

index name: Pict  index number(d): 163   starts at(h): 00DC3298

index name: Pict  index number(d): 164   starts at(h): 00DE1F70

index name: Pict  index number(d): 165   starts at(h): 00E0062C

index name: Pict  index number(d): 166   starts at(h): 00E22DC8

index name: Pict  index number(d): 167   starts at(h): 00E410C4

index name: Pict  index number(d): 168   starts at(h): 00E4F2AE

index name: Pict  index number(d): 169   starts at(h): 00E6277A

index name: Pict  index number(d): 170   starts at(h): 00E74564

index name: Pict  index number(d): 171   starts at(h): 00E869DA

index name: Pict  index number(d): 172   starts at(h): 00E999E6

index name: Pict  index number(d): 173   starts at(h): 00EABB4E

index name: Pict  index number(d): 174   starts at(h): 00EBFEDA

index name: Pict  index number(d): 175   starts at(h): 00ED4A66

index name: Pict  index number(d): 176   starts at(h): 00EECD64

index name: Pict  index number(d): 177   starts at(h): 00EFD45C

index name: Pict  index number(d): 178   starts at(h): 00F17630

index name: Pict  index number(d): 179   starts at(h): 00F2A506

index name: Pict  index number(d): 180   starts at(h): 00F3AE6E

index name: Pict  index number(d): 181   starts at(h): 00F4EA0A

index name: Pict  index number(d): 182   starts at(h): 00F62906

index name: Pict  index number(d): 183   starts at(h): 00F7A1C0

index name: Pict  index number(d): 184   starts at(h): 00F92762

index name: Pict  index number(d): 185   starts at(h): 00FBBDF8

index name: Pict  index number(d): 186   starts at(h): 00FE1C16

index name: Pict  index number(d): 187   starts at(h): 010060D2

index name: Pict  index number(d): 188   starts at(h): 0102E594

index name: Pict  index number(d): 189   starts at(h): 01049BFE

index name: Pict  index number(d): 190   starts at(h): 01068FF2

index name: Pict  index number(d): 191   starts at(h): 01084026

index name: Pict  index number(d): 192   starts at(h): 010A7CBE

index name: Pict  index number(d): 193   starts at(h): 010C6B78

index name: Pict  index number(d): 194   starts at(h): 010E4CA0

index name: Pict  index number(d): 195   starts at(h): 010FE5F6

index name: Pict  index number(d): 196   starts at(h): 0111C2A4

index name: Pict  index number(d): 197   starts at(h): 0113BAAE

index name: Pict  index number(d): 198   starts at(h): 01160290

index name: Pict  index number(d): 199   starts at(h): 01181474

index name: Pict  index number(d): 200   starts at(h): 011A0D42

index name: Pict  index number(d): 201   starts at(h): 011C3400

index name: Pict  index number(d): 202   starts at(h): 011E1630

index name: Pict  index number(d): 203   starts at(h): 0120179E

index name: Pict  index number(d): 204   starts at(h): 01234F50

index name: Pict  index number(d): 205   starts at(h): 0125218A

index name: Pict  index number(d): 206   starts at(h): 0127613E

index name: Pict  index number(d): 207   starts at(h): 0129834E

index name: Pict  index number(d): 208   starts at(h): 012BBB46

index name: Pict  index number(d): 209   starts at(h): 012DFCB6

